No,Date,Time,Train filename,Test filename,Word embedding,Char embedding,Total unique word,Total unique char,Unique OOV,Padsize,Char padsize,Trainable,MergeGRU Char,MergeGRU Word,Dropout,Dropout GRU,Model,Merge Layer,Optimizer,Loss,Load wgt,Name wgt,Epoch,Batch,F-1 Macro,F-1 Micro,Save wgt,Saved name wgt
no,2018-05-16,07:44,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,11,32,0.8521213149083107,0.9150277037600981,y,05-16_07:44_915
no,2018-05-16,08:29,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,12,32,0.8498003337772896,0.9149431121262106,y,05-16_08:29_915
no,2018-05-16,09:05,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,9,32,0.8509771098512793,0.9145201539567736,y,05-16_09:05_915
no,2018-05-16,09:51,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,12,32,0.8524902930702433,0.9151968870278729,y,05-16_09:51_915
no,2018-05-16,10:34,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,11,32,0.8529041981880283,0.9155352535634226,y,05-16_10:34_916
no,2018-05-16,11:27,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,concat,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,14,32,0.8545021910606589,0.9163811699022967,y,05-16_11:27_916
no,2018-05-16,12:26,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,ave,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,16,32,0.853100587646666,0.9155352535634226,y,05-16_12:26_916
no,2018-05-16,13:12,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,ave,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,12,32,0.8525335673349792,0.9161273950006344,y,05-16_13:12_916
no,2018-05-16,14:09,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,ave,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,15,32,0.85258678788782,0.9175654527767204,y,05-16_14:09_918
no,2018-05-16,15:09,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,ave,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,16,32,0.8537248473776794,0.9157044368311975,y,05-16_15:09_916
no,2018-05-16,16:01,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,ave,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,14,32,0.8507626278270413,0.9157044368311975,y,05-16_16:01_916
no,2018-05-16,16:54,id-ud-train.pos,id-ud-dev.pos,polyglot.vec,polyglot-char.vec,103589,181,447,188,25,True,concat,ave,0.5,0.0,3,0,adagrad,categorical_crossentropy,n,,14,32,0.851298583796378,0.91561984519731,y,05-16_16:54_916
